"filename", "language", "XML", "Python", "JavaScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"/Users/seongyeolyi/Desktop/yeolyi.github.io/Media/appstoreDownload.svg", "XML", 35, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/seongyeolyi/Desktop/yeolyi.github.io/about/index.html", "HTML", 0, 0, 0, 0, 41, 0, 0, 3, 44
"/Users/seongyeolyi/Desktop/yeolyi.github.io/css/ui.css", "CSS", 0, 0, 0, 0, 0, 213, 11, 57, 281
"/Users/seongyeolyi/Desktop/yeolyi.github.io/dev/daystack.html", "HTML", 0, 0, 0, 0, 67, 0, 0, 3, 70
"/Users/seongyeolyi/Desktop/yeolyi.github.io/dev/filin.html", "HTML", 0, 0, 0, 0, 66, 0, 0, 3, 69
"/Users/seongyeolyi/Desktop/yeolyi.github.io/dev/index.html", "HTML", 0, 0, 0, 0, 45, 0, 0, 3, 48
"/Users/seongyeolyi/Desktop/yeolyi.github.io/dev/snuyum.html", "HTML", 0, 0, 0, 0, 58, 0, 0, 3, 61
"/Users/seongyeolyi/Desktop/yeolyi.github.io/gen/generator.py", "Python", 0, 80, 0, 0, 0, 0, 3, 16, 99
"/Users/seongyeolyi/Desktop/yeolyi.github.io/gen/postHtmlSrc.py", "Python", 0, 1, 0, 0, 0, 0, 33, 1, 35
"/Users/seongyeolyi/Desktop/yeolyi.github.io/gen/postRowHtmlSrc.py", "Python", 0, 2, 0, 0, 0, 0, 41, 1, 44
"/Users/seongyeolyi/Desktop/yeolyi.github.io/index.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 3, 28
"/Users/seongyeolyi/Desktop/yeolyi.github.io/js/jquery.js", "JavaScript", 0, 0, 6895, 0, 0, 0, 1911, 2076, 10882
"/Users/seongyeolyi/Desktop/yeolyi.github.io/js/ui.js", "JavaScript", 0, 0, 32, 0, 0, 0, 2, 2, 36
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/post/SnuYumReview/content.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 31, 53
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/post/WhyIWrite/content.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 7, 24
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/index.html", "HTML", 0, 0, 0, 0, 39, 0, 10, 4, 53
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/post/SnuYumReview/index.html", "HTML", 0, 0, 0, 0, 43, 0, 0, 20, 63
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/post/WhyIWrite/index.html", "HTML", 0, 0, 0, 0, 42, 0, 0, 12, 54
"Total", "-", 35, 83, 6927, 39, 426, 213, 2011, 2246, 11980
